year,bd_gdp_growth_annual_pct,bd_inflation_annual_pct
2020,3.44801755122445,5.69107474746211
2021,6.93867912442445,5.54565430773473
2022,7.09982877575158,7.69695437176898
2023,5.77511237007889,9.8835030377921
2024,4.22325911250161,10.4657482763412
